Study_Mentioned,Product_Mentioned,Company_Mentioned,Indication_Mentioned,CAR-T,Pan_Tumor,Non-Social,Adjusted_Date,Tweet_Date,Tweet_Year,Conversation_Id,Tweet_Id,Congress,Therapeutic_Area,Tweet,Mentions,Hashtags,Retweet_Count,Reply_Count,Like_Count,Engagement,Quote_Count,Author_Id,Username,Name,Followers_Count,Following_Count,Profile_Bio,Location,Joined_at,Verified,User_Class,User_Type
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-11 10:56:16,4/11/2022,2022,1513546482426814475,1513546482426814475,AACR,"Oncology, Hematology",An incredible group of pancreatic cancer physicians and researchers were putting their heads together in NOLA this morning to talk about ?????. Find out about what is making them smile and their audacious goal next week. #AACR22 #RadicalCollaboration #CancerResearch https://t.co/N8ltWab9Bi,Nan,"AACR22, RadicalCollaboration, CancerResearch",12,3,95,110,2,1360187756232781825,break_cancer,Break Through Cancer,716,217,,"Cambridge, MA",2021-02-12,FALSE,Company / Organization,Professional
a071102,abt-888,abbvie,myeloid;other,0,0,1,2022-06-07 08:51:29,6/7/2022,2022,1.53417E+18,1.53417E+18,ASCO,"Oncology, Hematology",#ASCO22 #mpnsm #leusm Radich: Cepheid development rapid PCR testing after anthrax attacks (2001) and then got into BCR-ABL testing. Now being employed as relatively cheap testing method to dx/monitor CML therapy around the world. https://t.co/63Kve169x9,Nan,"ASCO22, mpnsm, leusm",1,0,1,2,0,55141488,hemedoc,"Aaron Logan, MD, PhD, MPhil — DONATE BLOOD!",5548,420,"Assoc Professor, UCSF hematology/BMT. Translational researcher interested in leukemia, MDS, MRD, post-HCT relapse, GVHD, & immune recon. Photos: pyknosis (IG)","San Francisco, CA",2009-07-09,FALSE,Individual,HCP
refine,navitoclax;ruxolitinib,abbvie,myeloid,0,0,1,2022-06-04 14:10:06,6/4/2022,2022,1533164207784468481,1533164207784468481,ASCO,"Oncology, Hematology","#ASCO22 #leusm #mpnsm Menghrajani: Navitoclax + Rux shown to have promise in Ph2 study in those with PD or poor resp to JAKi. Here, preliminary data from frontline Navitoclax + Rux ph2 REFINE study show good spleen size redxn responses; thrombocytopenia an issue (47% gr3+). https://t.co/4c6gY55pwV",Nan,"ASCO22, leusm, mpnsm",5,1,11,17,0,55141488,hemedoc,"Aaron Logan, MD, PhD, MPhil — DONATE BLOOD!",5531,419,"Assoc Professor, UCSF hematology/BMT. Translational researcher interested in leukemia, MDS, MRD, post-HCT relapse, GVHD, & immune recon. Photos: pyknosis (IG)","San Francisco, CA",2009-07-09,FALSE,Individual,HCP
Not Tagged,Not Tagged,abbvie,myeloid,0,0,1,2022-06-03 08:00:06,6/3/2022,2022,1532708707448102912,1532708707448102912,ASCO,"Oncology, Hematology",Welcoming oncologists and researchers from across the globe to our neighborhood: Chicago is home to our global HQ and #ASCO22. Join us tomorrow where we’ll be highlighting data on untreated acute myeloid leukemia (#AML). View more at @ASCO: https://t.co/Ilzp8VXcTs https://t.co/2G3fsbltkx,ASCO,"ASCO22, LCSM",2,0,5,7,0,3241059916,AbbVieUS,AbbVie US,9055,274,AbbVie’s Twitter feed featuring news and updates from our U.S. business. Intended for U.S. residents only. Review our guidelines here: https://t.co/CMljIbzTPP,United States,2015-05-07,TRUE,Company / Organization,Pharma / Biotech
Not Tagged,Not Tagged,abbvie,myeloid,0,0,1,2022-06-03 14:00:05,6/3/2022,2022,1532799299746250752,1532799299746250752,ASCO,"Oncology, Hematology","Tomorrow we’ll be sharing data from a study in #myelofibrosis (MF), as part of our larger oncology portfolio at #ASCO22. View more at @ASCO: https://t.co/3jeZui6K0q https://t.co/54fpor1d3L",ASCO,"myelofibrosis, ASCO22",0,0,2,2,0,3241059916,AbbVieUS,AbbVie US,9055,274,AbbVie’s Twitter feed featuring news and updates from our U.S. business. Intended for U.S. residents only. Review our guidelines here: https://t.co/CMljIbzTPP,United States,2015-05-07,TRUE,Company / Organization,Pharma / Biotech
Not Tagged,Not Tagged,abbvie,myeloid,0,0,1,2022-06-05 10:00:05,6/5/2022,2022,1533463674874216452,1533463674874216452,ASCO,"Oncology, Hematology",Preliminary results from a Phase 2 trial in #myelofibrosis (MF) will be shared at #ASCO22. MF is a rare blood cancer that develops when a genetic mutation occurs in blood stem cells. View more at @ASCO: https://t.co/dBK8cmG0gq https://t.co/zPh9AAzRkj,ASCO,"myelofibrosis, ASCO22",0,0,0,0,0,3241059916,AbbVieUS,AbbVie US,9058,274,AbbVie’s Twitter feed featuring news and updates from our U.S. business. Intended for U.S. residents only. Review our guidelines here: https://t.co/CMljIbzTPP,United States,2015-05-07,TRUE,Company / Organization,Pharma / Biotech
Not Tagged,idecabtagene vicleucel,2seventy bio;bms,multiple myeloma,0,0,1,2022-06-04 20:06:04,6/4/2022,2022,1533253787728617472,1533253787728617472,ASCO,"Oncology, Hematology",Do #myeloma patients have to meet the clinical trial criteria to receive Abecma as standard of care and still have it be effective? Not really. #mmsm #ASCO22 #PeerView https://t.co/bQmm4w0jmy,Nan,"myeloma, mmsm, ASCO22, PeerView",4,0,7,11,0,2228667494,myelomacrowd,Myeloma Crowd by HealthTree,5949,3066,"Supporting, educating and connecting #myeloma patients and their loved ones while actively seeking a cure.",Nan,2013-12-03,FALSE,Company / Organization,Advocacy / Charity
karmma,bb2121;idecabtagene vicleucel,2seventy bio;bms,multiple myeloma,1,0,1,2022-06-04 14:52:16,6/4/2022,2022,1533174820149547015,1533174820149547015,ASCO,"Oncology, Hematology","Real World experience of #Abecma from U.S. Myeloma CAR T consortium at @ASCO 2022
Safety efficacy similar to KarMMa despite many ineligible for the trial. 
Proud to be a part of this collaborative effort. @DorisHansen @SurbhiSidanaMD ??????
@bmsnews @ResearchMUSC @muschollings https://t.co/tclpRi8UDV","ASCO, DORISHANSEN, SurbhiSidanaMD, bmsnews, ResearchMUSC, muschollings",Abecma,3,0,21,24,1,997220908610785281,hamzahashmi87,hamzahashmi87,297,109,Assistant Professor Hematology/BMT @Muschollings Plasma cell disorders/ BMT/Cellular Therapy. Opinions are my own and not employer’s,"Charleston, SC",2018-05-17,FALSE,Individual,HCP
Not Tagged,elotuzumab,abbvie;bms,multiple myeloma,0,0,1,2022-06-06 16:16:27,6/6/2022,2022,1533920781029220352,1533920781029220352,ASCO,"Oncology, Hematology","CONGRESS #ASCO22 | Samer Ali Srour @MDAndersonNews presents a phase II study of umbilical cord blood–derived NK cells with elotuzumab, lenalidomide, and high-dose melphalan followed by ASCT in patients with high-risk #MM.
N=30. 
2-year PFS and OS rates were 83% and 97%.
#mmsm https://t.co/d6Ny67Q96x",MDAndersonNews,"ASCO22, MM, mmsm",5,0,10,15,0,857866557778743296,MM_Hub,Multiple Myeloma Hub,6110,2375,The Multiple Myeloma (MM) Hub is an online educational resource run in collaboration with the European School of Haematology @ESHaematology #mmsm #myeloma,Global ,2017-04-28,FALSE,Company / Organization,Healthcare
Not Tagged,elotuzumab,abbvie;bms,multiple myeloma,0,0,1,2022-06-03 09:59:26,6/3/2022,2022,1532738738954149888,1532738738954149888,ASCO,"Oncology, Hematology","Look forward to Samer Ali Srour ?@MDAndersonNews? #ASCO22 presentation #MultipleMyeloma #mmsm
NCT01729091: Phase 2: Umbilical Cord Blood-Derived NK Cells, Elotuzumab, Len, Melphalan f/b ASCT
https://t.co/m3HrNfsFnt https://t.co/nxS5UKCFx3",MDAndersonNews,"ASCO22, MultipleMyeloma, mmsm",1,0,3,4,0,1450806488885248005,MMTrials,Myeloma Clinical Trials,205,539,Multiple Myeloma Education Platform for Myeloma Community,"New York, NY",2021-10-20,FALSE,Company / Organization,Professional
Not Tagged,elotuzumab,abbvie;bms,multiple myeloma,0,0,1,2022-06-06 08:33:15,6/6/2022,2022,1533804211619696644,1533804211619696644,ASCO,"Oncology, Hematology","#ASCO22 #mmsm Srour: in vivo efficacy was wanting, hence exploration of adding Elotuzumab in this Ph2 study. https://t.co/32Xnj7vynB",Nan,"ASCO22, mmsm",1,0,1,2,0,55141488,hemedoc,"Aaron Logan, MD, PhD, MPhil — DONATE BLOOD!",5539,419,"Assoc Professor, UCSF hematology/BMT. Translational researcher interested in leukemia, MDS, MRD, post-HCT relapse, GVHD, & immune recon. Photos: pyknosis (IG)","San Francisco, CA",2009-07-09,FALSE,Individual,HCP
swog-1211,elotuzumab,abbvie;bms,multiple myeloma,0,0,1,2022-06-06 10:30:14,6/6/2022,2022,1533833652903321601,1533833652903321601,ASCO,"Oncology, Hematology","A great discussion was had with @szusmani at #ASCO22 about SWOG-1211 for patients with newly diagnosed, high-risk multiple myeloma. #mmsm | @ASCO https://t.co/P53r8nWzUN","szusmani, ASCO","ASCO22, mmsm",1,0,5,6,1,22195223,CancerNetwrk,CancerNetwork®,24535,498,"Home of the journal ONCOLOGY®, CancerNetwork® offers different perspectives on oncology/hematology through review articles, news, podcasts, blogs, and more.","Cranbury, NJ",2009-02-27,FALSE,Company / Organization,Publication / Journal
swog-1211,elotuzumab;bortezomib,abbvie;bms;takeda,multiple myeloma,0,0,1,2022-06-04 10:26:54,6/4/2022,2022,1533108037501825029,1533108037501825029,ASCO,"Oncology, Hematology","Our @szusmani is at #ASCO22 Poster 477 sharing the results of a randomized phase II trial of bortezomib, lenalidomide, dexamthasone with/without elotuzumab for newly diagnosed, high risk multiple myeloma (SWOG-1211). If you can’t swing by, Dr. Usmani shares insights below. @ASCO https://t.co/JVslmm6VoW","szusmani, ASCO",ASCO22,0,0,9,9,0,27295244,MSKCancerCenter,Memorial Sloan Kettering Cancer Center,96131,1888,"The official account of Memorial Sloan Kettering Cancer Center, the Sloan Kettering Institute, and Louis V. Gerstner, Jr. Graduate School of Biomedical Sciences","New York, New York",2009-03-28,TRUE,Company / Organization,Hospital / Clinic
Not Tagged,Not Tagged,abbvie,lymphoma;myeloid,0,0,1,2022-06-05 10:09:00,6/5/2022,2022,1533103462241665026,1533465919363510272,ASCO,"Oncology, Hematology","The correct answer is C) 20,000 – 25,000. Around 21,160 new cases of chronic lymphocytic #leukemia (#CLL) are estimated in the U.S. for this year. To learn more about CLL, visit https://t.co/67pqbdyXnE for valuable information and resources. #ASCO22",Nan,"leukemia, CLL, ASCO22",0,0,0,0,0,1633994564,Pharmacyclics,"Pharmacyclics, an AbbVie Company",1246,55,"Official Twitter Site for Pharmacyclics, an AbbVie Company.
Review our community guidelines here: https://t.co/yF1pVcUTKO","Sunnyvale, CA",2013-07-30,FALSE,Company / Organization,Pharma / Biotech
epcore nhl-2,epcoritamab,abbvie;genmab,lymphoma,0,0,1,2022-06-03 16:06:45,6/3/2022,2022,1532831174837555200,1532831174837555200,ASCO,"Oncology, Hematology",Too early to make a call on SC Epco #RCHOP in DLBCL #lymsm but seems a safe option #ASCO22 https://t.co/GsNYJ515a5,Nan,"RCHOP, lymsm, ASCO22",1,0,1,2,0,2745965651,HayderSaeed_MD,"Hayder Saeed, MD",810,545,"A hematologist @MoffittNews with interest in #lymsm. Tweets are not endorsements, and not medical advice.","Tampa, FL",2014-08-18,FALSE,Individual,HCP
epcore nhl-2,epcoritamab,abbvie;genmab,lymphoma,0,0,1,2022-06-03 16:24:40,6/3/2022,2022,1532835683055947777,1532835683055947777,ASCO,"Oncology, Hematology",#Hematology First-line treatment (Tx) with subcutaneous (SC) #epcoritamab (epco) + R-CHOP in patients (pts) with high-risk diffuse large B-cell #lymphoma (#DLBCL): Phase 1/2 data update #lymsm #ASCO22 https://t.co/AhoPLYnCgb,Nan,"Hematology, epcoritamab, lymphoma, DLBCL, lymsm, ASCO22",2,0,3,5,0,1697360292,DrRaulCordoba,"Raul Cordoba, MD, PhD",7998,4467,Lymphoma Unit @Hospital_FJD & @UICOquironsalud. Board member @sehh_es & @SIOGorg. Councilor @EHA_Hematology Executive Board. Chairman SWG “Aging and Hematology”,"Madrid, España",2013-08-24,FALSE,Individual,HCP
Not Tagged,ibrutinib,abbvie;janssen,lymphoma,0,0,1,2022-06-03 07:26:19,6/3/2022,2022,1532700203710808065,1532700203710808065,ASCO,"Oncology, Hematology","#ASCO22 J&amp;J, AbbVie detail a disease progression win for Imbruvica in newly diagnosed mantle cell lymphoma. But does a lack of overall survival win matter? https://t.co/AgekJR57dE",Nan,ASCO22,2,0,6,8,0,18294275,FiercePharma,FiercePharma,90939,473,Tweets from the Fierce Life Sciences editorial team,"West End, District of Columbia",2008-12-21,FALSE,Company / Organization,Media / News
Not Tagged,Not Tagged,abbvie;eli lilly;daiichi sankyo;astellas;gilead sciences,gi,0,0,1,2022-06-03 11:15:00,6/3/2022,2022,1532757753030029313,1532757753030029313,ASCO,"Oncology, Hematology","Thank you, @abbvie, @AstellasUS, @DaiichiSankyoUS, @GileadScience, and @LillyPad, for supporting our mission as #ASCO22 Track Donors at the Visionary level! We appreciate your generosity and vision!","abbvie, AstellasUS, DaiichiSankyoUS, LillyPad",ASCO22,0,0,1,1,0,221775604,ConquerCancerFd,"Conquer Cancer, the ASCO Foundation",12591,1008,"@ASCO's foundation funding research to conquer every cancer, for every patient, everywhere.","Alexandria, VA",2010-12-01,FALSE,Company / Organization,Advocacy / Charity
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-11-10 23:45:42,11/10/2022,2022,1590813997309239325,1590928732726112256,SITC,Oncology,@HSaterMD @thenasheffect @MarcoRuella @Praveen_IO @sitcancer @sitcancerECS Good luck,"HSaterMD, thenasheffect, MarcoRuella, Praveen_IO, sitcancer, sitcancerECS",Nan,0,0,3,3,0,1070360446383939586,RamadanHaifa,Haifa Ramadan,11,47,??? ????? ?????? ????? ???? ????? ?????? ????,Lebanon ,12/5/2018,FALSE,Individual,Blogger / Random / Other
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 15:00:21,11/10/2022,2022,1590796523536670720,1590796523536670720,SITC,Oncology,"Speak with some members of our expert oncology team at #SITC2022 this week about @SAIMedPartners extensive KOL network and how KOL Match can help you engage with and interview top-tier KOLs. Request a meeting here: https://t.co/qOHeAemfYE

#SITC22 #SITC #CTOS2022 #pharma #biotech https://t.co/iof7YoYvZZ",SAIMedPartners,"SITC2022, SITC22, SITC, CTOS2022, pharma, biotech",0,0,0,0,0,1172155672311541762,TheraTraQ,TheraTraQ,33,81,"Providing Intelligent Monitoring, Knowledge Management and Interactive Analytics services for the Life Sciences Industry.",Nan,9/12/2019,FALSE,Company / Organization,Consulting / Analytics
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 23:35:59,11/10/2022,2022,1590926285122916353,1590926285122916353,SITC,Oncology,"Bravo @HTawbi_MD for chairing a very informative @sitcancer session that I am proud to be a part of. Great review on anti-LAG3 development, and exciting new data on novel targets or smarter ways to manipulate “old” targets. @huntsmancancer https://t.co/C1ph62XUvc https://t.co/bpE9qnjRof",HTawbi_MD,Nan,2,0,1,3,0,1088951233568632832,SiwenONC,Siwen Hu-Lieskovan,418,243,"Melanoma and Cancer Immunotherapy Specialist, Physician Scientist","Salt Lake City, UT",1/26/2019,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-11-10 23:16:15,11/10/2022,2022,1590921319918759936,1590921319918759936,SITC,Oncology,Congrats Rosy on an awesome poster at #SITC22 in Boston. https://t.co/RYslS6v1mY,Nan,SITC22,0,0,2,2,0,1369372155885088775,jl_labelle,"James LaBelle, M.D., Ph.D.",322,156,"Pediatric Transplanter, Researcher, Director of the University of Chicago Pediatric Stem Cell and Cellular Therapy Program. Tweets my own.",Nan,3/9/2021,FALSE,Individual,Research / Science
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 23:14:05,11/10/2022,2022,1590920776554889216,1590920776554889216,SITC,Oncology,Sad to miss #SITC22 and The CheckPoints performance but I love seeing these snippets from the meeting! Last year was my first year at SITC and it was an amazing experience! https://t.co/6NEA2laZcT,Nan,SITC22,0,0,1,1,0,1271162428710178816,ScientistStephG,"Stephanie Gomez, PhD ??????",219,511,PhDone! @ChiappinelliLab @GWCancer @GWSMHS @GW_IBS My tweets are my own!,"Washington, DC",6/11/2020,FALSE,Individual,Research / Science
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-11-10 23:08:09,11/10/2022,2022,1590776325794828288,1590919283596746752,SITC,Oncology,@DrJashDatta @LesinskiLab @SylvesterCancer @umiamimedicine @sitcancer Congrats @DrJashDatta!,"DrJashDatta, LesinskiLab, SylvesterCancer, umiamimedicine, sitcancer, DrJashDatta",Nan,0,0,1,1,0,591972450,HalletJulie,Julie Hallet MD MSc ??,4834,1725,"(She/Her)
??Cancer Surgeon #NETs?? #HPBHeroine ?
???????Health services researcher
??Québec City Girl
Tweets are mine","YQB ??YYZ  ???? Toronto, ON??",5/27/2012,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 23:07:59,11/10/2022,2022,1590919238772207616,1590919238772207616,SITC,Oncology,Well..it is not nice if you have to pay 4$ for half liter water during the evening poster session 19.30-21.00 (registration fee of over 1000$). Undescribed feeling..  #SITC2022,Nan,SITC2022,0,0,2,2,0,1434802353786470403,Giusy_Di_Conza,Giusy Di Conza,92,220,"Scientist, passioned about cancer biology and immunometabolism","Lausanne, Switzerland",9/6/2021,FALSE,Individual,Research / Science
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:53:37,11/10/2022,2022,1590915536967598082,1590915625773563904,SITC,Oncology,@sitcancer,sitcancer,Nan,0,0,0,0,0,1371465858111975425,PatrickHwuMD,Dr. Patrick Hwu,12689,1365,"Moffitt Cancer Center President and CEO, @MoffittNews. Tumor immunologist. Inspired leader. Girl dad. #DocsWhoRock. Driven to save more lives from #cancer.","Tampa, FL",3/15/2021,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:53:34,11/11/2022,2022,1590915612758663169,1590915612758663169,SITC,Oncology,One of the best things about my job is getting to hang out with amazing colleagues and talk science at conferences like #SITC22 @NCIResearchCtr @gulleyj1 @hmaeng @HSaterMD https://t.co/no0fefGQK0,"NCIResearchCtr, gulleyj1, hmaeng, HSaterMD",SITC22,0,1,5,6,0,821520917738225664,DrGattiMays,Margaret Gatti-Mays MD MPH FACP ????,2526,2391,#BreastCancer Oncologist | #Immunotherapy @OSUCCC_James @PIIO_OSU | Assoc Ed @jitcancer | #BoyMom | #WomenInMedicine | #HoyaSaxa | #NIH alumnus | Tweets-My Own,"Columbus, OH",1/18/2017,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:53:16,11/12/2022,2022,1590915536967598082,1590915536967598082,SITC,Oncology,"The CheckPoints are gearing up for tomorrow night’s #SITC22 celebration! #BandPractice #DocsWhoRock @DocsWhoRock @JimAllisonPhD @jasonlukemd 
@BReinfeld @wolchokj https://t.co/cM2UviYo7a","DocsWhoRock, JimAllisonPhD, jasonlukemd, BReinfeld, wolchokj","SITC22, BandPractice, DocsWhoRock",3,2,23,28,1,1371465858111975425,PatrickHwuMD,Dr. Patrick Hwu,12689,1365,"Moffitt Cancer Center President and CEO, @MoffittNews. Tumor immunologist. Inspired leader. Girl dad. #DocsWhoRock. Driven to save more lives from #cancer.","Tampa, FL",3/15/2021,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:44:29,11/10/2022,2022,1590913325105225728,1590913325105225728,SITC,Oncology,?@MarcoRuella? giving his last speech as the chair of the ECS committee at ?@sitcancerECS?. ?@JennGuerriero? where is the picture of the chairs and co-chairs? ?@DanChenMDPhD? is trying to figure out what Marco is saying! ?? https://t.co/RbFLrSCY3B,"MarcoRuella, sitcancerECS, JennGuerriero, DanChenMDPhD",Nan,2,0,13,15,0,397025602,SMImmunology,"Saman Maleki, PhD",5129,937,"I study the Immune system & its fight against Cancer in patients & mice @SchulichMedDent. Advocate 4 Science-based Medicine. ""Nullius in Verba""
Views R my own","London, Ontario, Canada",10/24/2011,TRUE,Individual,Research / Science
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:36:33,11/10/2022,2022,1590911328277123072,1590911328277123072,SITC,Oncology,"Always ready to show our work, even at 10pm at the bar with an NCI director #SITC22 @OncoHost https://t.co/52Stflux5V",OncoHost,SITC22,0,0,0,0,0,1050370331947520000,MichalHarel1,Michal Harel,15,167,Wife. Mother. Bioinformatic Scientist. Director of Science and Innovation at OncoHost,Nan,10/11/2018,FALSE,Individual,Research / Science
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-11-10 14:29:12,11/10/2022,2022,1590788682587508769,1590788682587508769,SITC,Oncology,"Today, Dr. Michael Atkins was awarded the prestigious @sitcancer Lifetime Achievement Award for his contributions in melanoma immunotherapy research. Dr. Atkins was instrumental in advocating for the uveal melanoma community &amp; the development of @MRFCureOM. #SITC22 #EyeGetDilated https://t.co/F711aj4c4a","sitcancer, MRFCureOM","SITC22, EyeGetDilated",1,0,5,6,1,29520332,CureMelanoma,Melanoma Research Foundation,16040,2851,The Melanoma Research Foundation (MRF) is the largest independent organization devoted to #melanoma. Help us find pathways to a cure! #GetNaked,"Washington, DC & Worldwide",4/7/2009,TRUE,Company / Organization,Advocacy / Charity
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:31:37,11/10/2022,2022,1590910089703350275,1590910089703350275,SITC,Oncology,"We are at #SITC2022!
Our expert Dr. Erica Trujillo presented the NCG-SGM3 model today at SITC 2022. The poster displays NCC-SGM3 mouse model for human immune reconstitution of myeloid lineages. If you missed it, please visit our booth #821 for a copy of the poster!
#GemPharmatech https://t.co/rdzgJIqNyV",Nan,"SITC2022, GemPharmatech",1,0,1,2,0,1227492401071026177,GPharmatech,GemPharmatech,149,794,Accelerating Innovation Through Genetically Engineered Mouse Models (GEMMS) and Preclinical Services,"Delaware, USA",2/12/2020,FALSE,Company / Organization,Pharma / Biotech
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-11-10 22:28:42,11/10/2022,2022,1590905580834942976,1590909352705404928,SITC,Oncology,"@ChochrPhD @DrWoappi @nanostringtech @sitcancer @Yale @YaleMed @YaleIBIO I thought I saw a baby bump when we last talked, but it’s not something you just ask about. Congrats! And also, yes we can ????","ChochrPhD, DrWoappi, nanostringtech, sitcancer, Yale, YaleMed, YalelBIO",Nan,0,0,1,1,0,999680365076930560,drstarbird,Dr. Chrystal Ama Starbird PDB Depositer,4129,1592,Scientist. Mother. Perpetual Learner. Incoming Asst. Professor @UNC_BCBP #NIHMOSAIC K99/R00 Scholar @CancerYale.Co-Founder @YaleBPA #BlackandSTEM | still I rise,"New Haven, CT",5/24/2018,FALSE,Individual,Research / Science
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-11-10 19:13:56,11/11/2022,2022,1590860339457191937,1590860339457191937,SITC,Oncology,The TLS session at #SITC22 is EXCELLENT. So happy to see all the traction in the field! #Bcells #TLS @sautesfridm @HaydnKissick --excellent job chairing!,"sautesfridm, HaydnKissick","SITC22, Bcells, TLS",0,1,13,14,0,1217209520679723014,BcellBruno,"Tullia Bruno, PhD",1269,320,Bruno lab| 10+ years of cancer immunology | B cells in cancer | #scientist #womaninscience #sassyscientist,"Pittsburgh, PA",1/14/2020,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:23:14,11/11/2022,2022,1590907979142156289,1590907979142156289,SITC,Oncology,It was a pleasure to be able to present the results of our work @StanfordCancer today @sitcancer #SITC22 in the Immune Related Adverse Events Session on optimizing the safety of immunotherapy @StanfordCVI @SeanM_Wu @Ron_Witteles @JoelNealMD @HwakeleeMD @sandysrimd @EladSharonMD https://t.co/Dkxc2EstAi https://t.co/LdOFmxqxfy,"StanfordCancer, sitcancer, StanfordCVI, SeanM_Wu, Ron_Witteles",SITC22,2,1,6,9,0,929507843517988864,HanZhuMD,Han Zhu,1003,492,Instructor and #PhysicianScientist at Stanford. Cardiologist. Translational cardio-oncology and cardiac inflammation. MIT and CWRU alum.,"Stanford, CA",11/12/2017,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,lung,0,0,1,2022-11-10 13:15:08,11/10/2022,2022,1590770045612859392,1590770045612859392,SITC,Oncology,"Valencia et al. identify DSTYK, a dual serine/threonine and tyrosine #kinase, as a novel actionable target that is altered in #LungCancer and associated with poor clinical outcome https://t.co/pdg0CeEQdj

From our #Cancer #Immunotherapy collection: https://t.co/vZLDRiauiJ
#SITC22 https://t.co/BdyXIsWCBw",Nan,"kinase, LungCancer, Cancer, Immunotherapy, SITC22",1,0,3,4,0,75302402,JExpMed,JExpMed,27110,1244,"The Journal of Experimental Medicine publishes immunology, cancer, stem cells, microbial pathogenesis, vascular biology, neurobiology. Est. 1896 - @RockUPress","New York, NY",9/18/2009,FALSE,Company / Organization,Publication / Journal
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:18:16,11/10/2022,2022,1590906730128363520,1590906730128363520,SITC,Oncology,Incredible cancer immunology talks at #SITC2022! https://t.co/Mq77jkulEj,Nan,SITC2022,0,0,0,0,0,4795672240,DouglasChung94,Douglas Chung,76,189,PhD Student | Cancer Immunologist |  Science/S.T.E.A.M Outreach,Nan,1/13/2016,FALSE,Individual,Research / Science
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:17:14,11/10/2022,2022,1590906468772954113,1590906468772954113,SITC,Oncology,"An incredible day of talks at #SITC22! So honored to have the opportunity to cap off the first day with such a dynamic panel. If you missed the talk / want to hear more about probiotics' impact on ICIs, stop by poster 1310 tomorrow! @sitcancer @MeiselLab @Pitt_PMI @PittPubHealth https://t.co/ArwZ0ksvEV","sitcancer, MeiselLab, Pitt_PMI, PittPubHealth",SITC22,1,0,5,6,0,1337473051194085378,AlexCMcPherson,Alex McPherson,71,68,PhD candidate @MeiselLab at the University of Pittsburgh | Aspiring immunologist | Penguins fan | Animal foster,Pittsburgh,12/11/2020,FALSE,Individual,Research / Science
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 22:13:42,11/11/2022,2022,1590905580834942976,1590905580834942976,SITC,Oncology,"Presenting my poster at #SITC22 with my #babybump. Women CAN do it all.  
 #momswhoscience #drmom #CancerResearch #spatialbiology #cancerassociatedfibroblasts #immumooncology 
@nanostringtech @sitcancer @Yale @YaleMed @YaleIBIO https://t.co/IO3QhMfBTQ","nanostringtech, sitcancer, Yale, YaleMed, YaleIBIO","SITC22, babybump, momswhoscience, drmom, CancerResearch, spatialbiology, cancerassociatedfibroblasts, immumooncology",4,1,22,27,0,1152691065528487936,ChochrPhD,Christina Cho,225,498,Postdoc in Lieping Chen's lab @yalemed @yaleibio. Cancer Biologist. Wife. Mom #shecanstem??????????????????????????? Tweets are my own.,"New Haven, CT",7/20/2019,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-11-10 21:57:39,11/10/2022,2022,1590901541589901312,1590901541589901312,SITC,Oncology,Had a fantastic first day at #SITC22 - Boston always feels like home ???? https://t.co/OEmsCo13FM,Nan,SITC22,0,0,1,1,0,1455693644443406341,evelynnguyenxd,Evelyn M. Nguyen,153,236,PhD-in-training @sloan_kettering | @charlesrudin lab,"New York, NY",11/3/2021,FALSE,Individual,Research / Science
